request_id,citizen_need_text,need_category,state,constituency,linked_work_id,status,created_at,data_origin
CREQ-0009,"Local residents have raised concerns that there is no maintained green space or park accessible to residents near Ward 5, and are requesting consideration for public park works.",Public park,Rajasthan,RAJSAMAND,WS/MP383/2024-2025/11215,SUBMITTED,2026-07-09,SYNTHETIC_DEMO
CREQ-0113,"Local residents have raised concerns that the irrigation channel is silted and does not carry water reliably to the fields near the railway colony, and are requesting consideration for irrigation channel works.",Irrigation channel,Bihar,GAYA,,SUBMITTED,2026-07-12,SYNTHETIC_DEMO
CREQ-0079,"The suggestion describes the existing water supply point runs dry for several hours a day during summer months in Ward 7, with an estimated 90 families affected during peak usage hours.",Drinking water supply,Karnataka,HAVERI,,RECOMMENDATION_SUBMITTED,2026-07-16,SYNTHETIC_DEMO
CREQ-0095,"Local residents have raised concerns that garbage collection is irregular and waste accumulates near residential areas near the southern extension, and are requesting consideration for solid waste management works.",Solid waste management,Tamil Nadu,VIRUDHUNAGAR,,RECOMMENDATION_CREATED,2026-07-16,SYNTHETIC_DEMO
CREQ-0122,"The suggestion describes the irrigation channel is silted and does not carry water reliably to the fields in Sector 2, with an estimated 70 families affected during peak usage hours.",Irrigation channel,Karnataka,HAVERI,,RECOMMENDATION_CREATED,2026-07-18,SYNTHETIC_DEMO
CREQ-0018,"A citizen suggestion notes that the drinking water supply in the railway colony has not been upgraded in several years, and the existing water supply point runs dry for several hours a day during summer months.",Drinking water supply,Telangana,WARANGAL,,NEED_IDENTIFICATION,2026-07-23,SYNTHETIC_DEMO
CREQ-0036,"Local residents have raised concerns that the irrigation channel is silted and does not carry water reliably to the fields near Sector 2, and are requesting consideration for irrigation channel works.",Irrigation channel,Maharashtra,AMRAVATI(SC),,RECOMMENDATION_CREATED,2026-07-24,SYNTHETIC_DEMO
CREQ-0035,"Community members in the railway colony flagged that there is no maintained green space or park accessible to residents, and requested that the MP consider sanctioning public park works in the area.",Public park,Gujarat,SURAT,,SUBMITTED,2026-07-27,SYNTHETIC_DEMO
CREQ-0037,"Community members in the industrial estate road flagged that commuters have no shelter at the bus stop during rain or peak summer heat, and requested that the MP consider sanctioning bus shelter works in the area.",Bus shelter,Maharashtra,NASHIK,,RECOMMENDATION_CREATED,2026-07-27,SYNTHETIC_DEMO
CREQ-0002,"The suggestion describes the area has no grid electricity access for conventional street lighting in Ward 11, with an estimated 200 families affected during peak usage hours.",Solar street lighting,Tamil Nadu,ARAKKONAM,WS/MP017/2025-2026/160053,SUBMITTED,2026-08-06,SYNTHETIC_DEMO
CREQ-0057,"A grievance was submitted describing how the nearest health sub-center is several kilometres away with limited operating hours, particularly affecting students and elderly residents in the industrial estate road.",Public health sub-center,Madhya Pradesh,MANDSOUR,,NEED_IDENTIFICATION,2026-08-08,SYNTHETIC_DEMO
CREQ-0075,"Residents of the the market area area report that the internal road remains unpaved and becomes waterlogged during monsoon, affecting daily commute and access to essential services for roughly 25 households.",Internal road repair,Madhya Pradesh,MANDSOUR,,CLOSED_NOT_TAKEN_UP,2026-08-11,SYNTHETIC_DEMO
CREQ-0101,"The suggestion describes the culvert connecting the two hamlets is damaged and unsafe during monsoon in Ward 11, with an estimated 45 families affected during peak usage hours.",Bridge / culvert repair,Tamil Nadu,ERODE,,NEED_IDENTIFICATION,2026-08-16,SYNTHETIC_DEMO
CREQ-0061,"A grievance was submitted describing how open drains overflow onto the roadway during heavy rainfall, particularly affecting students and elderly residents in the market area.",Drainage system,Madhya Pradesh,GUNA,,RECOMMENDATION_SUBMITTED,2026-08-20,SYNTHETIC_DEMO
CREQ-0021,"Community members in Ward 11 flagged that the nearest functional handpump is over a kilometre from several households, and requested that the MP consider sanctioning handpump / borewell installation works in the area.",Handpump / borewell installation,Rajasthan,JHUNJHUNU,,SUBMITTED,2026-08-24,SYNTHETIC_DEMO
CREQ-0072,"A citizen suggestion notes that the handpump / borewell installation in the riverside settlement has not been upgraded in several years, and the nearest functional handpump is over a kilometre from several households.",Handpump / borewell installation,Rajasthan,RAJSAMAND,,SUBMITTED,2026-08-24,SYNTHETIC_DEMO
CREQ-0067,"A citizen suggestion notes that the sports facility in the outskirts hamlet has not been upgraded in several years, and there is no maintained playground or sports ground for local youth.",Sports facility,Bihar,JHANJHARPUR,,SUBMITTED,2026-08-25,SYNTHETIC_DEMO
CREQ-0088,"A grievance was submitted describing how there is no maintained green space or park accessible to residents, particularly affecting students and elderly residents in Ward 3.",Public park,Maharashtra,NASHIK,,SUBMITTED,2026-08-30,SYNTHETIC_DEMO
CREQ-0108,"A citizen suggestion notes that the public library in the outskirts hamlet has not been upgraded in several years, and there is no reading room or library facility accessible to students in the area.",Public library,Tamil Nadu,VIRUDHUNAGAR,,SUBMITTED,2026-08-31,SYNTHETIC_DEMO
CREQ-0121,"A citizen suggestion notes that the public park in the railway colony has not been upgraded in several years, and there is no maintained green space or park accessible to residents.",Public park,Madhya Pradesh,MANDSOUR,,RECOMMENDATION_CREATED,2026-08-31,SYNTHETIC_DEMO
CREQ-0069,"The suggestion describes there is no reading room or library facility accessible to students in the area in the panchayat office area, with an estimated 25 families affected during peak usage hours.",Public library,Madhya Pradesh,GUNA,,MP_REVIEW,2026-09-01,SYNTHETIC_DEMO
